epoch,loss,recon_bce,kl
1,158.1807209431966,150.41648544108074,15.528470855013529
2,112.76206858317057,101.0399631266276,23.444211106363934
3,102.8262934000651,89.50099309082032,26.650600455729165
4,97.8549457804362,83.74020100097657,28.22948963724772
5,95.3505463256836,80.94756904296875,28.805954838053385
6,93.76866750488281,79.21466158854167,29.10801185506185
7,92.57837241617838,77.92068710123698,29.315370387776692
8,91.7037402750651,76.97473707682292,29.458005938720703
9,90.99716197509765,76.23715935872396,29.52000540568034
10,90.39881342773438,75.59299499511718,29.611637042236328
11,89.95168542073567,75.10385869140624,29.695653525797525
12,89.60654213460286,74.71839724121094,29.776289665730793
13,89.23828447672525,74.33123818359375,29.814092299397785
14,88.94197323811849,74.01720196940104,29.849542575073244
15,88.67614060058594,73.73619264322916,29.879895834350584
16,88.48946010742188,73.52848934326173,29.921941346232096
17,88.27702307535807,73.29276969401042,29.96850678100586
18,88.10545419108072,73.1130966796875,29.984714783732095
19,87.8987112915039,72.91243743489584,29.972547821044923
20,87.79552828369141,72.77828207600912,30.034492360432942
