epoch,train_loss,test_acc
1,0.13891459417045116,0.985000000667572
2,0.039057326889783146,0.9879999996185302
3,0.026726907061164578,0.9907999997138977
4,0.020379243028567483,0.9890999998092651
5,0.015076011666888371,0.9930999998092651
