epoch,loss,recon_bce,kl
1,164.57258548990885,155.80568532307942,8.766900249036153
2,124.3704881632487,109.76668971354167,14.603798295084635
3,115.2650629313151,98.17902119547526,17.086041701253254
4,110.84514642333984,92.62773594156901,18.21741054280599
5,108.14206680501302,89.31026903889973,18.831797568766277
6,106.34347093098958,87.07530115966797,19.2681694132487
7,105.0518340209961,85.47395856119792,19.577875436401367
8,104.1480990234375,84.33896344401042,19.80913532409668
9,103.3889026977539,83.46941129557291,19.919491374715168
10,102.76817618001301,82.7094955485026,20.05868073425293
11,102.32276170247395,82.17039442545573,20.15236725769043
12,101.96817203776041,81.75641214192709,20.21175995686849
13,101.61237585042318,81.33735526123047,20.275020626831054
14,101.27376478271485,80.96113795979818,20.312626883951822
15,101.03152963053385,80.66995630696614,20.36157321370443
16,100.78148002929687,80.41721650797525,20.36426346028646
17,100.57268879394532,80.16637020670574,20.406318764241536
18,100.3851158203125,79.94276907552083,20.44234672241211
19,100.22068545735677,79.77846905110677,20.442216377766925
20,100.07321912434895,79.61277953287761,20.460439804077147
